zip_code,percent_change,equity_risk,2008_avg_salespr,2009_avg_salespr,2010_avg_salespr,2011_avg_salespr,2012_avg_salespr,2013_avg_salespr,2014_avg_salespr,2015_avg_salespr,2016_avg_salespr,2017_avg_salespr,2018_avg_salespr,2019_avg_salespr
10025,2.16422988159801,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,487814.474166667,988958.3333333334,1010558.3333333334,971383.3333333334
60657,0.0545798432855985,True,374110.0,364333.3333333333,382166.6666666667,379133.3333333333,357500.0,358708.3333333333,381833.3333333333,358975.0,323408.3333333333,332800.0,374091.6666666667,406700.0
10023,3.24199926145686,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,662261.8975,1190383.3333333333,1125308.3333333333,1141841.6666666667
77494,0.349137931034483,True,243150.0,233016.66666666666,246433.33333333334,243641.66666666666,252175.0,262941.6666666667,288925.0,311583.3333333333,316950.0,328233.3333333333,330591.6666666667,323108.3333333333
60614,1.10428714895943,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,267540.0775000003,371772.47500000003,435866.6666666667,510475.0
77449,-0.29807576570185,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,189836.90416666688,153108.33333333334,162766.66666666666,169400.0,176583.33333333334,186583.33333333334
77084,0.604273504273504,True,114920.0,113716.66666666667,113883.33333333333,104783.33333333333,104525.0,122400.0,133900.0,151658.33333333334,157158.33333333334,164183.33333333334,164041.66666666666,182250.0
79936,-0.481541676677134,False,251217.92599999998,226411.61916666682,189691.3583333334,112666.66666666667,115791.66666666667,116658.33333333333,115300.0,116066.66666666667,118350.0,124933.33333333333,126358.33333333333,136075.0
60640,0.068856056248717,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,237370.23750000022,221158.33333333334,223666.66666666666,226233.33333333334,228891.66666666666,261133.33333333334
78660,-0.020648568336391,False,251217.92599999998,226411.61916666682,183455.3316666667,145166.66666666666,148891.66666666666,166716.66666666666,179425.0,204308.33333333334,220125.0,236583.33333333334,244541.66666666666,256900.0
