,school_district,Zip_code,Rank,State
5559,RAMAPO CENTRAL SCHOOL DISTRICT (SUFFERN),10931,460.0,New York
5576,RAMAPO CENTRAL SCHOOL DISTRICT (SUFFERN),10952,460.0,New York
5578,NANUET UNION FREE SCHOOL DISTRICT,10954,242.0,New York
5595,NANUET UNION FREE SCHOOL DISTRICT,10965,242.0,New York
5602,RAMAPO CENTRAL SCHOOL DISTRICT (SUFFERN),10970,460.0,New York
5605,RAMAPO CENTRAL SCHOOL DISTRICT (SUFFERN),10974,460.0,New York
5608,NANUET UNION FREE SCHOOL DISTRICT,10977,242.0,New York
5612,RAMAPO CENTRAL SCHOOL DISTRICT (SUFFERN),10980,460.0,New York
5629,NANUET UNION FREE SCHOOL DISTRICT,10994,242.0,New York
5653,GREAT NECK UNION FREE SCHOOL DISTRICT,11020,166.0,New York
5654,MANHASSET UNION FREE SCHOOL DISTRICT,11020,34.0,New York
5655,GREAT NECK UNION FREE SCHOOL DISTRICT,11021,166.0,New York
5656,MANHASSET UNION FREE SCHOOL DISTRICT,11021,34.0,New York
5657,GREAT NECK UNION FREE SCHOOL DISTRICT,11023,166.0,New York
5658,MANHASSET UNION FREE SCHOOL DISTRICT,11023,34.0,New York
5659,GREAT NECK UNION FREE SCHOOL DISTRICT,11024,166.0,New York
5660,GREAT NECK UNION FREE SCHOOL DISTRICT,11030,166.0,New York
5661,HERRICKS UNION FREE SCHOOL DISTRICT,11030,112.0,New York
5662,MANHASSET UNION FREE SCHOOL DISTRICT,11030,34.0,New York
5663,PORT WASHINGTON UNION FREE SCHOOL DISTRICT,11030,320.0,New York
5665,GARDEN CITY UNION FREE SCHOOL DISTRICT,11040,80.0,New York
5666,GREAT NECK UNION FREE SCHOOL DISTRICT,11040,166.0,New York
5667,HERRICKS UNION FREE SCHOOL DISTRICT,11040,112.0,New York
5672,GREAT NECK UNION FREE SCHOOL DISTRICT,11042,166.0,New York
5673,PORT WASHINGTON UNION FREE SCHOOL DISTRICT,11050,320.0,New York
5674,ROSLYN UNION FREE SCHOOL DISTRICT,11050,279.0,New York
5774,EAST WILLISTON UNION FREE SCHOOL DISTRICT,11501,122.0,New York
5775,GARDEN CITY UNION FREE SCHOOL DISTRICT,11501,80.0,New York
5777,EAST WILLISTON UNION FREE SCHOOL DISTRICT,11507,122.0,New York
5778,HERRICKS UNION FREE SCHOOL DISTRICT,11507,112.0,New York
5790,LYNBROOK UNION FREE SCHOOL DISTRICT,11518,396.0,New York
5797,EAST MEADOW UNION FREE SCHOOL DISTRICT,11530,488.0,New York
5800,GARDEN CITY UNION FREE SCHOOL DISTRICT,11530,80.0,New York
5805,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,11542,171.0,New York
5806,NORTH SHORE CENTRAL SCHOOL DISTRICT,11542,132.0,New York
5807,JERICHO UNION FREE SCHOOL DISTRICT,11545,65.0,New York
5808,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,11545,171.0,New York
5809,ROSLYN UNION FREE SCHOOL DISTRICT,11545,279.0,New York
5810,NORTH SHORE CENTRAL SCHOOL DISTRICT,11545,132.0,New York
5811,PORT WASHINGTON UNION FREE SCHOOL DISTRICT,11547,320.0,New York
5812,NORTH SHORE CENTRAL SCHOOL DISTRICT,11547,132.0,New York
5813,JERICHO UNION FREE SCHOOL DISTRICT,11548,65.0,New York
5814,ROSLYN UNION FREE SCHOOL DISTRICT,11548,279.0,New York
5815,NORTH SHORE CENTRAL SCHOOL DISTRICT,11548,132.0,New York
5818,GARDEN CITY UNION FREE SCHOOL DISTRICT,11550,80.0,New York
5824,GARDEN CITY UNION FREE SCHOOL DISTRICT,11552,80.0,New York
5831,EAST MEADOW UNION FREE SCHOOL DISTRICT,11553,488.0,New York
5836,EAST MEADOW UNION FREE SCHOOL DISTRICT,11554,488.0,New York
5837,EAST MEADOW UNION FREE SCHOOL DISTRICT,11556,488.0,New York
5839,LYNBROOK UNION FREE SCHOOL DISTRICT,11557,396.0,New York
5846,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,11560,171.0,New York
5850,LYNBROOK UNION FREE SCHOOL DISTRICT,11563,396.0,New York
5866,EAST WILLISTON UNION FREE SCHOOL DISTRICT,11568,122.0,New York
5867,JERICHO UNION FREE SCHOOL DISTRICT,11568,65.0,New York
5868,ROSLYN UNION FREE SCHOOL DISTRICT,11568,279.0,New York
5884,HERRICKS UNION FREE SCHOOL DISTRICT,11576,112.0,New York
5885,PORT WASHINGTON UNION FREE SCHOOL DISTRICT,11576,320.0,New York
5886,ROSLYN UNION FREE SCHOOL DISTRICT,11576,279.0,New York
5887,NORTH SHORE CENTRAL SCHOOL DISTRICT,11576,132.0,New York
5888,EAST WILLISTON UNION FREE SCHOOL DISTRICT,11577,122.0,New York
5889,HERRICKS UNION FREE SCHOOL DISTRICT,11577,112.0,New York
5891,ROSLYN UNION FREE SCHOOL DISTRICT,11577,279.0,New York
5892,NORTH SHORE CENTRAL SCHOOL DISTRICT,11579,132.0,New York
5894,LYNBROOK UNION FREE SCHOOL DISTRICT,11580,396.0,New York
5907,EAST MEADOW UNION FREE SCHOOL DISTRICT,11590,488.0,New York
5909,JERICHO UNION FREE SCHOOL DISTRICT,11590,65.0,New York
5912,EAST WILLISTON UNION FREE SCHOOL DISTRICT,11596,122.0,New York
5913,HERRICKS UNION FREE SCHOOL DISTRICT,11596,112.0,New York
5945,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,11709,171.0,New York
5950,WANTAGH UNION FREE SCHOOL DISTRICT,11710,426.0,New York
5952,BETHPAGE UNION FREE SCHOOL DISTRICT,11714,402.0,New York
5957,PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT,11714,321.0,New York
5969,THREE VILLAGE CENTRAL SCHOOL DISTRICT,11720,434.0,New York
5970,HARBORFIELDS CENTRAL SCHOOL DISTRICT,11721,355.0,New York
5975,COLD SPRING HARBOR CENTRAL SCHOOL DISTRICT,11724,324.0,New York
5979,SMITHTOWN CENTRAL SCHOOL DISTRICT,11725,322.0,New York
5987,HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,11729,307.0,New York
5992,HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,11731,307.0,New York
5994,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,11732,171.0,New York
5997,PORT JEFFERSON UNION FREE SCHOOL DISTRICT,11733,240.0,New York
5998,THREE VILLAGE CENTRAL SCHOOL DISTRICT,11733,434.0,New York
5999,BETHPAGE UNION FREE SCHOOL DISTRICT,11735,402.0,New York
6002,HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,11735,307.0,New York
6004,PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT,11735,321.0,New York
6010,HARBORFIELDS CENTRAL SCHOOL DISTRICT,11740,355.0,New York
6015,COLD SPRING HARBOR CENTRAL SCHOOL DISTRICT,11743,324.0,New York
6017,HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,11743,307.0,New York
6018,HARBORFIELDS CENTRAL SCHOOL DISTRICT,11743,355.0,New York
6022,HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,11746,307.0,New York
6023,HARBORFIELDS CENTRAL SCHOOL DISTRICT,11746,355.0,New York
6026,HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,11747,307.0,New York
6035,JERICHO UNION FREE SCHOOL DISTRICT,11753,65.0,New York
6036,SYOSSET CENTRAL SCHOOL DISTRICT,11753,100.0,New York
6038,SMITHTOWN CENTRAL SCHOOL DISTRICT,11754,322.0,New York
6041,SMITHTOWN CENTRAL SCHOOL DISTRICT,11755,322.0,New York
6042,THREE VILLAGE CENTRAL SCHOOL DISTRICT,11755,434.0,New York
6043,BETHPAGE UNION FREE SCHOOL DISTRICT,11756,402.0,New York
6044,EAST MEADOW UNION FREE SCHOOL DISTRICT,11756,488.0,New York
6054,MASSAPEQUA UNION FREE SCHOOL DISTRICT,11758,254.0,New York
6058,MASSAPEQUA UNION FREE SCHOOL DISTRICT,11762,254.0,New York
6066,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,11765,171.0,New York
6072,PORT JEFFERSON UNION FREE SCHOOL DISTRICT,11766,240.0,New York
6075,SMITHTOWN CENTRAL SCHOOL DISTRICT,11767,322.0,New York
6076,HARBORFIELDS CENTRAL SCHOOL DISTRICT,11768,355.0,New York
6083,COLD SPRING HARBOR CENTRAL SCHOOL DISTRICT,11771,324.0,New York
6084,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,11771,171.0,New York
6086,SYOSSET CENTRAL SCHOOL DISTRICT,11771,100.0,New York
6095,THREE VILLAGE CENTRAL SCHOOL DISTRICT,11776,434.0,New York
6097,PORT JEFFERSON UNION FREE SCHOOL DISTRICT,11777,240.0,New York
6098,THREE VILLAGE CENTRAL SCHOOL DISTRICT,11777,434.0,New York
6108,SMITHTOWN CENTRAL SCHOOL DISTRICT,11780,322.0,New York
6109,THREE VILLAGE CENTRAL SCHOOL DISTRICT,11780,434.0,New York
6126,SMITHTOWN CENTRAL SCHOOL DISTRICT,11787,322.0,New York
6131,SMITHTOWN CENTRAL SCHOOL DISTRICT,11788,322.0,New York
6135,THREE VILLAGE CENTRAL SCHOOL DISTRICT,11790,434.0,New York
6136,COLD SPRING HARBOR CENTRAL SCHOOL DISTRICT,11791,324.0,New York
6137,JERICHO UNION FREE SCHOOL DISTRICT,11791,65.0,New York
6138,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,11791,171.0,New York
6140,SYOSSET CENTRAL SCHOOL DISTRICT,11791,100.0,New York
6150,WANTAGH UNION FREE SCHOOL DISTRICT,11793,426.0,New York
6151,THREE VILLAGE CENTRAL SCHOOL DISTRICT,11794,434.0,New York
6155,PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT,11797,321.0,New York
6156,SYOSSET CENTRAL SCHOOL DISTRICT,11797,100.0,New York
6157,HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,11798,307.0,New York
6160,BETHPAGE UNION FREE SCHOOL DISTRICT,11801,402.0,New York
6162,JERICHO UNION FREE SCHOOL DISTRICT,11801,65.0,New York
6163,SYOSSET CENTRAL SCHOOL DISTRICT,11801,100.0,New York
6165,BETHPAGE UNION FREE SCHOOL DISTRICT,11803,402.0,New York
6166,PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT,11803,321.0,New York
6167,SYOSSET CENTRAL SCHOOL DISTRICT,11803,100.0,New York
6168,BETHPAGE UNION FREE SCHOOL DISTRICT,11804,402.0,New York
6169,PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT,11804,321.0,New York
6179,SAG HARBOR UNION FREE SCHOOL DISTRICT,11932,394.0,New York
6191,SAG HARBOR UNION FREE SCHOOL DISTRICT,11937,394.0,New York
6236,SAG HARBOR UNION FREE SCHOOL DISTRICT,11962,394.0,New York
6240,SAG HARBOR UNION FREE SCHOOL DISTRICT,11963,394.0,New York
6276,NISKAYUNA CENTRAL SCHOOL DISTRICT,12008,404.0,New York
6281,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,12009,475.0,New York
6284,BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT,12010,500.0,New York
6299,BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT,12019,500.0,New York
6303,BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT,12020,500.0,New York
6315,BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT,12027,500.0,New York
6339,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,12041,475.0,New York
6362,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,12054,475.0,New York
6371,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,12059,475.0,New York
6383,BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT,12065,500.0,New York
6410,HUDSON CITY SCHOOL DISTRICT,12075,213.0,Ohio
6461,NISKAYUNA CENTRAL SCHOOL DISTRICT,12110,404.0,New York
6528,BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT,12148,500.0,New York
6529,NISKAYUNA CENTRAL SCHOOL DISTRICT,12148,404.0,New York
6557,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,12159,475.0,New York
6581,HUDSON CITY SCHOOL DISTRICT,12172,213.0,Ohio
6615,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,12186,475.0,New York
6667,BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT,12302,500.0,New York
6669,NISKAYUNA CENTRAL SCHOOL DISTRICT,12302,404.0,New York
6676,NISKAYUNA CENTRAL SCHOOL DISTRICT,12304,404.0,New York
6686,NISKAYUNA CENTRAL SCHOOL DISTRICT,12308,404.0,New York
6688,NISKAYUNA CENTRAL SCHOOL DISTRICT,12309,404.0,New York
6849,HUDSON CITY SCHOOL DISTRICT,12502,213.0,Ohio
6861,HUDSON CITY SCHOOL DISTRICT,12513,213.0,Ohio
6876,HUDSON CITY SCHOOL DISTRICT,12521,213.0,Ohio
6881,HUDSON CITY SCHOOL DISTRICT,12523,213.0,Ohio
6906,HUDSON CITY SCHOOL DISTRICT,12534,213.0,Ohio
7145,BOLTON CENTRAL SCHOOL DISTRICT,12814,232.0,New York
7163,BOLTON CENTRAL SCHOOL DISTRICT,12824,232.0,New York
7195,BOLTON CENTRAL SCHOOL DISTRICT,12836,232.0,New York
7446,CAZENOVIA CENTRAL SCHOOL DISTRICT,13032,451.0,New York
7455,CAZENOVIA CENTRAL SCHOOL DISTRICT,13035,451.0,New York
7458,FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT,13035,105.0,New York
7463,CAZENOVIA CENTRAL SCHOOL DISTRICT,13037,451.0,New York
7466,FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT,13037,105.0,New York
7485,CAZENOVIA CENTRAL SCHOOL DISTRICT,13052,451.0,New York
7495,JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,13057,449.0,New York
7500,CAZENOVIA CENTRAL SCHOOL DISTRICT,13061,451.0,New York
7506,JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,13066,449.0,New York
7508,FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT,13066,105.0,New York
7521,CAZENOVIA CENTRAL SCHOOL DISTRICT,13072,451.0,New York
7539,JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,13078,449.0,New York
7542,FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT,13078,105.0,New York
7573,CAZENOVIA CENTRAL SCHOOL DISTRICT,13104,451.0,New York
7575,JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,13104,449.0,New York
7577,FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT,13104,105.0,New York
7603,CAZENOVIA CENTRAL SCHOOL DISTRICT,13122,451.0,New York
7714,JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,13210,449.0,New York
7721,JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,13214,449.0,New York
7732,JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,13224,449.0,New York
8587,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,14032,280.0,New York
8625,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,14051,280.0,New York
8672,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,14068,280.0,New York
8839,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,14221,280.0,New York
8852,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,14225,280.0,New York
8861,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,14228,280.0,New York
8863,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,14261,280.0,New York
8944,PITTSFORD CENTRAL SCHOOL DISTRICT,14445,130.0,New York
8947,PENFIELD CENTRAL SCHOOL DISTRICT,14450,258.0,New York
8948,PITTSFORD CENTRAL SCHOOL DISTRICT,14450,130.0,New York
8969,PITTSFORD CENTRAL SCHOOL DISTRICT,14467,130.0,New York
9021,PENFIELD CENTRAL SCHOOL DISTRICT,14502,258.0,New York
9071,PENFIELD CENTRAL SCHOOL DISTRICT,14526,258.0,New York
9092,PITTSFORD CENTRAL SCHOOL DISTRICT,14534,130.0,New York
9139,PITTSFORD CENTRAL SCHOOL DISTRICT,14564,130.0,New York
9156,PENFIELD CENTRAL SCHOOL DISTRICT,14580,258.0,New York
9183,PENFIELD CENTRAL SCHOOL DISTRICT,14609,258.0,New York
9186,BRIGHTON CENTRAL SCHOOL DISTRICT,14610,374.0,New York
9187,PENFIELD CENTRAL SCHOOL DISTRICT,14610,258.0,New York
9188,PITTSFORD CENTRAL SCHOOL DISTRICT,14610,130.0,New York
9204,BRIGHTON CENTRAL SCHOOL DISTRICT,14618,374.0,New York
9206,PITTSFORD CENTRAL SCHOOL DISTRICT,14618,130.0,New York
9210,BRIGHTON CENTRAL SCHOOL DISTRICT,14620,374.0,New York
9219,BRIGHTON CENTRAL SCHOOL DISTRICT,14623,374.0,New York
9230,PENFIELD CENTRAL SCHOOL DISTRICT,14625,258.0,New York
9231,PITTSFORD CENTRAL SCHOOL DISTRICT,14625,130.0,New York
9653,QUAKER VALLEY SCHOOL DISTRICT,15003,292.0,Pennsylvania
9657,NORTH ALLEGHENY SCHOOL DISTRICT,15005,208.0,Pennsylvania
9659,PINE-RICHLAND SCHOOL DISTRICT,15007,272.0,Pennsylvania
9672,NORTH ALLEGHENY SCHOOL DISTRICT,15015,208.0,Pennsylvania
9675,PETERS TOWNSHIP SCHOOL DISTRICT,15017,261.0,Pennsylvania
9676,SOUTH FAYETTE TOWNSHIP SCHOOL DISTRICT,15017,21.0,Pennsylvania
9689,FOX CHAPEL AREA SCHOOL DISTRICT,15024,154.0,Pennsylvania
9702,SOUTH FAYETTE TOWNSHIP SCHOOL DISTRICT,15031,21.0,Pennsylvania
9713,PINE-RICHLAND SCHOOL DISTRICT,15044,272.0,Pennsylvania
9715,HAMPTON TOWNSHIP SCHOOL DISTRICT,15044,144.0,Pennsylvania
9716,MARS AREA SCHOOL DISTRICT,15044,252.0,Pennsylvania
9717,NORTH ALLEGHENY SCHOOL DISTRICT,15044,208.0,Pennsylvania
9724,FOX CHAPEL AREA SCHOOL DISTRICT,15051,154.0,Pennsylvania
9731,QUAKER VALLEY SCHOOL DISTRICT,15056,292.0,Pennsylvania
9735,SOUTH FAYETTE TOWNSHIP SCHOOL DISTRICT,15057,21.0,Pennsylvania
9748,SOUTH FAYETTE TOWNSHIP SCHOOL DISTRICT,15064,21.0,Pennsylvania
9758,FRANKLIN REGIONAL SCHOOL DISTRICT,15068,357.0,Pennsylvania
9764,SOUTH FAYETTE TOWNSHIP SCHOOL DISTRICT,15071,21.0,Pennsylvania
9769,FOX CHAPEL AREA SCHOOL DISTRICT,15075,154.0,Pennsylvania
9774,SOUTH FAYETTE TOWNSHIP SCHOOL DISTRICT,15082,21.0,Pennsylvania
9782,NORTH ALLEGHENY SCHOOL DISTRICT,15086,208.0,Pennsylvania
9783,SENECA VALLEY SCHOOL DISTRICT,15086,349.0,Pennsylvania
9789,PINE-RICHLAND SCHOOL DISTRICT,15090,272.0,Pennsylvania
9790,NORTH ALLEGHENY SCHOOL DISTRICT,15090,208.0,Pennsylvania
9791,PINE-RICHLAND SCHOOL DISTRICT,15101,272.0,Pennsylvania
9793,FOX CHAPEL AREA SCHOOL DISTRICT,15101,154.0,Pennsylvania
9794,HAMPTON TOWNSHIP SCHOOL DISTRICT,15101,144.0,Pennsylvania
9795,NORTH ALLEGHENY SCHOOL DISTRICT,15101,208.0,Pennsylvania
9810,FOX CHAPEL AREA SCHOOL DISTRICT,15116,154.0,Pennsylvania
9811,HAMPTON TOWNSHIP SCHOOL DISTRICT,15116,144.0,Pennsylvania
9846,AVONWORTH SCHOOL DISTRICT,15143,461.0,Pennsylvania
9847,NORTH ALLEGHENY SCHOOL DISTRICT,15143,208.0,Pennsylvania
9848,QUAKER VALLEY SCHOOL DISTRICT,15143,292.0,Pennsylvania
9852,FRANKLIN REGIONAL SCHOOL DISTRICT,15146,357.0,Pennsylvania
9861,AVONWORTH SCHOOL DISTRICT,15202,461.0,Pennsylvania
9890,FOX CHAPEL AREA SCHOOL DISTRICT,15215,154.0,Pennsylvania
9919,BRENTWOOD BOROUGH SCHOOL DISTRICT,15227,443.0,Missouri
9924,UPPER SAINT CLAIR SCHOOL DISTRICT,15228,157.0,Pennsylvania
9940,BRENTWOOD BOROUGH SCHOOL DISTRICT,15236,443.0,Missouri
9945,AVONWORTH SCHOOL DISTRICT,15237,461.0,Pennsylvania
9946,NORTH ALLEGHENY SCHOOL DISTRICT,15237,208.0,Pennsylvania
9949,FOX CHAPEL AREA SCHOOL DISTRICT,15238,154.0,Pennsylvania
9954,PETERS TOWNSHIP SCHOOL DISTRICT,15241,261.0,Pennsylvania
9955,UPPER SAINT CLAIR SCHOOL DISTRICT,15241,157.0,Pennsylvania
9958,UPPER SAINT CLAIR SCHOOL DISTRICT,15243,157.0,Pennsylvania
9985,PETERS TOWNSHIP SCHOOL DISTRICT,15317,261.0,Pennsylvania
10007,PETERS TOWNSHIP SCHOOL DISTRICT,15332,261.0,Pennsylvania
10049,PETERS TOWNSHIP SCHOOL DISTRICT,15367,261.0,Pennsylvania
10266,FRANKLIN REGIONAL SCHOOL DISTRICT,15626,357.0,Pennsylvania
10272,FRANKLIN REGIONAL SCHOOL DISTRICT,15632,357.0,Pennsylvania
10293,FRANKLIN REGIONAL SCHOOL DISTRICT,15644,357.0,Pennsylvania
10318,FRANKLIN REGIONAL SCHOOL DISTRICT,15668,357.0,Pennsylvania
10532,FOREST HILLS SCHOOL DISTRICT,15904,483.0,Michigan
10548,FOREST HILLS SCHOOL DISTRICT,15921,483.0,Michigan
10560,FOREST HILLS SCHOOL DISTRICT,15930,483.0,Michigan
10566,FOREST HILLS SCHOOL DISTRICT,15934,483.0,Michigan
10581,FOREST HILLS SCHOOL DISTRICT,15942,483.0,Michigan
10590,FOREST HILLS SCHOOL DISTRICT,15946,483.0,Michigan
10596,FOREST HILLS SCHOOL DISTRICT,15951,483.0,Michigan
10597,FOREST HILLS SCHOOL DISTRICT,15952,483.0,Michigan
10601,FOREST HILLS SCHOOL DISTRICT,15955,483.0,Michigan
10602,FOREST HILLS SCHOOL DISTRICT,15956,483.0,Michigan
10606,FOREST HILLS SCHOOL DISTRICT,15958,483.0,Michigan
10612,FOREST HILLS SCHOOL DISTRICT,15962,483.0,Michigan
10614,FOREST HILLS SCHOOL DISTRICT,15963,483.0,Michigan
10623,MARS AREA SCHOOL DISTRICT,16002,252.0,Pennsylvania
10625,SENECA VALLEY SCHOOL DISTRICT,16002,349.0,Pennsylvania
10630,SENECA VALLEY SCHOOL DISTRICT,16024,349.0,Pennsylvania
10639,MARS AREA SCHOOL DISTRICT,16033,252.0,Pennsylvania
10640,SENECA VALLEY SCHOOL DISTRICT,16033,349.0,Pennsylvania
10648,SENECA VALLEY SCHOOL DISTRICT,16037,349.0,Pennsylvania
10657,PINE-RICHLAND SCHOOL DISTRICT,16046,272.0,Pennsylvania
10658,MARS AREA SCHOOL DISTRICT,16046,252.0,Pennsylvania
10659,NORTH ALLEGHENY SCHOOL DISTRICT,16046,208.0,Pennsylvania
10660,SENECA VALLEY SCHOOL DISTRICT,16046,349.0,Pennsylvania
10674,SENECA VALLEY SCHOOL DISTRICT,16052,349.0,Pennsylvania
10677,SENECA VALLEY SCHOOL DISTRICT,16053,349.0,Pennsylvania
10682,MARS AREA SCHOOL DISTRICT,16056,252.0,Pennsylvania
10689,PINE-RICHLAND SCHOOL DISTRICT,16059,272.0,Pennsylvania
10690,MARS AREA SCHOOL DISTRICT,16059,252.0,Pennsylvania
10696,SENECA VALLEY SCHOOL DISTRICT,16063,349.0,Pennsylvania
10697,SENECA VALLEY SCHOOL DISTRICT,16066,349.0,Pennsylvania
11401,CUMBERLAND VALLEY SCHOOL DISTRICT,17007,439.0,Pennsylvania
11406,CUMBERLAND VALLEY SCHOOL DISTRICT,17011,439.0,Pennsylvania
11412,CUMBERLAND VALLEY SCHOOL DISTRICT,17013,439.0,Pennsylvania
11416,CUMBERLAND VALLEY SCHOOL DISTRICT,17015,439.0,Pennsylvania
11423,CUMBERLAND VALLEY SCHOOL DISTRICT,17019,439.0,Pennsylvania
11439,CUMBERLAND VALLEY SCHOOL DISTRICT,17025,439.0,Pennsylvania
11487,CUMBERLAND VALLEY SCHOOL DISTRICT,17050,439.0,Pennsylvania
11500,CUMBERLAND VALLEY SCHOOL DISTRICT,17055,439.0,Pennsylvania
11534,CUMBERLAND VALLEY SCHOOL DISTRICT,17072,439.0,Pennsylvania
11720,HANOVER PUBLIC SCHOOL DISTRICT,17331,218.0,Massachusetts
11774,YORK SUBURBAN SCHOOL DISTRICT,17401,297.0,Pennsylvania
11779,YORK SUBURBAN SCHOOL DISTRICT,17402,297.0,Pennsylvania
11784,YORK SUBURBAN SCHOOL DISTRICT,17403,297.0,Pennsylvania
11838,MANHEIM TOWNSHIP SCHOOL DISTRICT,17540,438.0,Pennsylvania
11843,MANHEIM TOWNSHIP SCHOOL DISTRICT,17543,438.0,Pennsylvania
11849,MANHEIM TOWNSHIP SCHOOL DISTRICT,17545,438.0,Pennsylvania
11882,WILSON SCHOOL DISTRICT,17569,494.0,Pennsylvania
11901,MANHEIM TOWNSHIP SCHOOL DISTRICT,17601,438.0,Pennsylvania
11905,MANHEIM TOWNSHIP SCHOOL DISTRICT,17602,438.0,Pennsylvania
11909,MANHEIM TOWNSHIP SCHOOL DISTRICT,17603,438.0,Pennsylvania
11911,MANHEIM TOWNSHIP SCHOOL DISTRICT,17606,438.0,Pennsylvania
12035,LEWISBURG AREA SCHOOL DISTRICT,17837,383.0,Pennsylvania
12078,LEWISBURG AREA SCHOOL DISTRICT,17870,383.0,Pennsylvania
12091,LEWISBURG AREA SCHOOL DISTRICT,17886,383.0,Pennsylvania
12096,LEWISBURG AREA SCHOOL DISTRICT,17889,383.0,Pennsylvania
12206,QUAKERTOWN COMMUNITY SCHOOL DISTRICT,18041,308.0,Pennsylvania
12228,QUAKERTOWN COMMUNITY SCHOOL DISTRICT,18054,308.0,Pennsylvania
12237,PLEASANT VALLEY SCHOOL DISTRICT,18058,326.0,Iowa
12255,PLEASANT VALLEY SCHOOL DISTRICT,18071,326.0,Iowa
12258,QUAKERTOWN COMMUNITY SCHOOL DISTRICT,18073,308.0,Pennsylvania
12261,PERKIOMEN VALLEY SCHOOL DISTRICT,18074,143.0,Pennsylvania
12313,PLEASANT VALLEY SCHOOL DISTRICT,18210,326.0,Iowa
12366,PLEASANT VALLEY SCHOOL DISTRICT,18322,326.0,Iowa
12378,PLEASANT VALLEY SCHOOL DISTRICT,18330,326.0,Iowa
12380,PLEASANT VALLEY SCHOOL DISTRICT,18331,326.0,Iowa
12383,PLEASANT VALLEY SCHOOL DISTRICT,18333,326.0,Iowa
12398,PLEASANT VALLEY SCHOOL DISTRICT,18353,326.0,Iowa
12401,PLEASANT VALLEY SCHOOL DISTRICT,18354,326.0,Iowa
12407,PLEASANT VALLEY SCHOOL DISTRICT,18360,326.0,Iowa
12420,ABINGTON HEIGHTS SCHOOL DISTRICT,18411,470.0,Pennsylvania
12424,ABINGTON HEIGHTS SCHOOL DISTRICT,18414,470.0,Pennsylvania
12511,ABINGTON HEIGHTS SCHOOL DISTRICT,18471,470.0,Pennsylvania
12517,ABINGTON HEIGHTS SCHOOL DISTRICT,18504,470.0,Pennsylvania
12542,PLEASANT VALLEY SCHOOL DISTRICT,18610,326.0,Iowa
